estab_nome,total_gasto,total_transacoes,percentual_do_total
GOL LINHAS AEREAS S.A.,16456268.47,22011,29.97
TAM LINHAS AEREAS S/A.,16157052.2,21758,29.42
AZUL LINHAS AEREAS BRASILEIRAS S.A.,9016392.46,12283,16.42
OCEANAIR LINHAS AEREAS S/A FALIDO,7381093.42,15044,13.44
MAP TRANSPORTES AEREOS LTDA,970193.73,1319,1.77
SEM INFORMACAO,278257.97000000003,476,0.51
LATAM AIRLINES GROUP S/A,216020.61,300,0.39
NAO SE APLICA,191926.0,422,0.35
MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LTDA,94900.0,1,0.17
KALUNGA SA,81969.12,234,0.15
BIG STORE COMERCIO E SERVICOS LTDA,69958.0,4,0.13
MEDICAL SUTURE COMERCIO DE MATERIAL HOSPITALAR LTDA,68060.0,3,0.12
VENANCIO PRODUTOS FARMACEUTICOS LTDA.,61525.36,636,0.11
CFJ CANAA DISTRIBUIDORA LTDA,52929.0,5,0.1
STELO S.A.,46504.34,13,0.08
RAIA DROGASIL S/A,45769.93,386,0.08
ARAUJO PORTO ALEGRE COMERCIO E SERVICOS LTDA,44081.7,107,0.08
J SANTOS & SIQUEIRA LTDA,43878.72,83,0.08
OLIVEIRA E CINTRA LTDA,39092.0,55,0.07
GAMA-MED 13 COMERCIO E SERVICOS LTDA,39000.0,1,0.07
