mes,dia_semana,total_gasto
1,Friday,315453.97
1,Monday,186248.38
1,Saturday,32531.76
1,Sunday,64513.3
1,Thursday,206372.87
1,Tuesday,187380.4
1,Wednesday,133430.9
2,Friday,535230.8
2,Monday,291956.28
2,Saturday,42631.4
2,Sunday,35016.46
2,Thursday,345703.22
2,Tuesday,201504.86
2,Wednesday,315044.29
3,Friday,1130553.86
3,Monday,696327.39
3,Saturday,90551.44
3,Sunday,89024.84
3,Thursday,1176016.32
3,Tuesday,616999.37
3,Wednesday,792831.67
4,Friday,1071098.87
4,Monday,916609.52
4,Saturday,110241.75
4,Sunday,51428.9
4,Thursday,1382108.23
4,Tuesday,893431.9
4,Wednesday,1050965.57
5,Friday,1746043.17
5,Monday,961696.26
5,Saturday,260509.81
5,Sunday,149511.18
5,Thursday,1101837.02
5,Tuesday,1298676.2
5,Wednesday,1260404.39
6,Friday,1587408.89
6,Monday,815547.06
6,Saturday,164296.56
6,Sunday,149449.49
6,Thursday,1202564.78
6,Tuesday,1420121.84
6,Wednesday,1047989.78
7,Friday,1481263.68
7,Monday,831726.6
7,Saturday,169818.7
7,Sunday,211387.76
7,Thursday,1014474.09
7,Tuesday,803527.98
7,Wednesday,948289.13
8,Friday,1174366.73
8,Monday,790447.43
8,Saturday,189373.53
8,Sunday,204167.94
8,Thursday,828235.44
8,Tuesday,821324.6
8,Wednesday,730282.45
9,Friday,2043093.27
9,Monday,900151.55
9,Saturday,147739.84
9,Sunday,151410.1
9,Thursday,935344.26
9,Tuesday,1194175.44
9,Wednesday,1019338.26
10,Friday,924087.17
10,Monday,750352.74
10,Saturday,117079.9
10,Sunday,37979.41
10,Thursday,1037052.07
10,Tuesday,770896.85
10,Wednesday,1008387.27
11,Friday,1346042.32
11,Monday,806387.75
11,Saturday,142544.7
11,Sunday,82686.28
11,Thursday,1088896.61
11,Tuesday,1007786.68
11,Wednesday,1167113.46
12,Friday,565054.04
12,Monday,282910.78
12,Saturday,22944.03
12,Sunday,64897.95
12,Thursday,336083.53
12,Tuesday,333280.83
12,Wednesday,303785.67
