ug_nome,total_gasto,percentual
SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MS,43492030.14,79.2
INSTITUTO EVANDRO CHAGAS,2338512.72,4.26
INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,919857.48,1.68
INSTITUTO NACIONAL DO CANCER - RJ,892023.88,1.62
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / RJ,480825.68,0.88
CENTRO NACIONAL DE PRIMATAS,326622.67,0.59
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / BA,314423.33,0.57
DISTRITO SANIT.ESP.INDIGENA - PERNAMBUCO,309746.19,0.56
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PA,277985.36,0.51
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / SC,249506.17,0.45
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / RR,227912.04,0.42
HOSPITAL FEDERAL DE IPANEMA,224955.89,0.41
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / AP,222986.73,0.41
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / MT,212223.42,0.39
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / CE,203075.07,0.37
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / MG,201380.72,0.37
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / RO,200546.68,0.37
DISTRITO SANIT.ESP.INDIGENA - TOCANTINS,192446.14,0.35
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PB,192106.31,0.35
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / TO,181942.82,0.33
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / SP,171469.19,0.31
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / RS,171326.31,0.31
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / AC,163476.92,0.3
DISTRITO SANIT.ESP.INDIGENA - BAHIA,161091.43,0.29
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / MA,155896.31,0.28
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / RN,155780.5,0.28
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / AM,151744.77,0.28
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / SE,148687.49,0.27
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / ES,144927.74,0.26
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PR,142314.43,0.26
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PI,139559.05,0.25
SUPERINTENDENCIA ESTADUAL DO MS/AL,136011.01,0.25
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PE,135146.08,0.25
HOSPITAL FEDERAL DA LAGOA,128654.21,0.23
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / GO,126842.63,0.23
INSTITUTO NACIONAL DE CARDIOLOGIA,125413.5,0.23
DISTRITO SANIT.ESP.INDIGENA - MARANHAO,117954.95,0.21
DISTRITO SANIT.ESP.INDIGENA - MG/ES,112364.54,0.2
DISTRITO SANIT.ESP.INDIGENA - CUIABA,112303.18,0.2
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / MS,108088.53,0.2
DISTRITO SANIT.ESP.INDIGENA - INTERIOR SUL,72455.07,0.13
DISTRITO SANIT.ESP.INDIGENA MATO GROSSO SUL,48844.37,0.09
DISTRITO SANIT.ESP.INDIGENA - LITORAL SUL,33974.0,0.06
DISTRITO SANIT.ESP.INDIGENA - XINGU,33210.6,0.06
HOSPITAL FEDERAL CARDOSO FONTES,31900.65,0.06
SECRETARIA DE ATENCAO A SAUDE,25500.0,0.05
DISTRITO SANIT.ESP.INDIGENA - POTIGUARA,24196.47,0.04
DISTRITO SANIT.ESP.INDIGENA - XAVANTE,23954.87,0.04
GABINETE DO MINISTRO - MS,23759.36,0.04
COORDENACAO-GERAL DE GESTAO DE PESSOAS,19578.38,0.04
DISTRITO SANIT.ESP.INDIGENA - PARINTINS,19020.91,0.03
DISTRITO SANIT.ESP.INDIGENA - MANAUS,18614.51,0.03
DISTRITO SANIT.ESP.INDIGENA - PORTO VELHO,18545.71,0.03
DISTRITO SANIT.ESP.INDIGENA - KAIAPO REDENCAO,11291.18,0.02
DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE,11203.91,0.02
DISTRITO SANIT.ESP.INDIGENA AL/SE,10785.47,0.02
DISTRITO SANIT.ESP.INDIGENA - CEARA,6772.25,0.01
DISTRITO SANIT.ESP.INDIGENA - MEDIO SOLIMOES,4745.0,0.01
DISTRITO SANIT.ESP.INDIGENA - MEDIO PURUS,2220.05,0.0
SECRETARIA DE SAUDE INDIGENA - SESAI,1517.3000000000002,0.0
DISTRITO SANIT.ESP.INDIGENA - ALTO PURUS,1201.5,0.0
