estab_nome,total_gasto,total_transacoes,ticket_medio,primeira_transacao,ultima_transacao
GOL LINHAS AEREAS S.A.,16456268.47,22011,747.64,2014-07-04,2019-07-23
TAM LINHAS AEREAS S/A.,16157052.2,21758,742.58,2015-04-24,2019-07-24
AZUL LINHAS AEREAS BRASILEIRAS S.A.,9016392.46,12283,734.05,2015-04-20,2019-07-23
OCEANAIR LINHAS AEREAS S/A FALIDO,7381093.42,15044,490.63,2015-03-18,2019-05-25
MAP TRANSPORTES AEREOS LTDA,970193.73,1319,735.55,2016-04-20,2019-07-18
SEM INFORMACAO,278257.97,476,584.58,2013-03-22,2026-01-26
LATAM AIRLINES GROUP S/A,216020.61,300,720.07,2018-04-10,2018-05-12
NAO SE APLICA,191926.0,422,454.8,2012-11-26,2017-12-01
MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LTDA,94900.0,1,94900.0,2020-06-16,2020-06-16
KALUNGA SA,81969.12,234,350.3,2012-12-19,2026-01-19
BIG STORE COMERCIO E SERVICOS LTDA,69958.0,4,17489.5,2020-04-30,2020-04-30
MEDICAL SUTURE COMERCIO DE MATERIAL HOSPITALAR LTDA,68060.0,3,22686.67,2020-06-09,2020-06-12
VENANCIO PRODUTOS FARMACEUTICOS LTDA.,61525.36,636,96.74,2012-11-28,2025-12-12
CFJ CANAA DISTRIBUIDORA LTDA,52929.0,5,10585.8,2020-07-02,2020-07-23
STELO S.A.,46504.34,13,3577.26,2018-08-01,2020-08-05
RAIA DROGASIL S/A,45769.93,386,118.57,2012-12-04,2025-12-18
ARAUJO PORTO ALEGRE COMERCIO E SERVICOS LTDA,44081.7,107,411.98,2013-02-20,2025-10-31
J SANTOS & SIQUEIRA LTDA,43878.72,83,528.66,2012-12-05,2013-12-11
OLIVEIRA E CINTRA LTDA,39092.0,55,710.76,2012-12-04,2013-12-12
GAMA-MED 13 COMERCIO E SERVICOS LTDA,39000.0,1,39000.0,2020-08-05,2020-08-05
EMPRESA AUTO VIACAO PROGRESSO LTDA,33517.56,72,465.52,2013-02-06,2013-04-24
PAGAR.ME S.A.,31769.51,41,774.87,2020-08-21,2025-03-31
RAIO X MATERIAL HOSPITALAR LTDA,30400.0,1,30400.0,2020-07-01,2020-07-01
PARCO COMERCIO E SERVICOS LTDA,29421.57,92,319.8,2012-12-13,2025-11-19
MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,27684.88,38,728.55,2020-10-13,2025-08-02
FERNANDO ALVES DE CARVALHO LTDA,24513.91,78,314.28,2012-12-05,2014-03-18
TECIDOS E ARMARINHO 253 COMERCIO VAREJISTA DE TECIDOS E ARTIGOS DE AVIAMENTOS LTDA,21964.89,69,318.33,2013-01-22,2025-10-29
SYSTEM CARD 460 CONTROLE DE ACESSO E IDENTIFICACAO LTDA,20923.66,17,1230.8,2016-06-03,2024-11-22
TERRACO MAT P/ CONSTRUCAO LTDA,20511.8,17,1206.58,2013-09-19,2017-03-10
L M COMERCIO DE PECAS DE MOTOCICLETAS LTDA,19978.96,119,167.89,2013-06-05,2021-08-19
