ug_nome,total_gasto,total_transacoes,ticket_medio,maior_transacao
SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MS,43492030.14,63236,687.77,3704.78
INSTITUTO EVANDRO CHAGAS,2338512.72,4809,486.28,3292.73
INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,919857.48,2281,403.27,94900.0
INSTITUTO NACIONAL DO CANCER - RJ,892023.88,1446,616.89,10000.0
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / RJ,480825.68,1120,429.31,6120.0
CENTRO NACIONAL DE PRIMATAS,326622.67,767,425.84,2218.92
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / BA,314423.33,846,371.66,1500.32
DISTRITO SANIT.ESP.INDIGENA - PERNAMBUCO,309746.19,702,441.23,7500.0
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PA,277985.36,430,646.48,2927.73
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / SC,249506.17,603,413.77,2344.6
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / RR,227912.04,242,941.79,2940.77
HOSPITAL FEDERAL DE IPANEMA,224955.89,397,566.64,7583.17
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / AP,222986.73,303,735.93,2265.83
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / MT,212223.42,511,415.31,1760.17
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / CE,203075.07,433,469.0,2046.43
